# http://openkore-brasil.com 
# http://revok.com.br/ 
# RO packet extractor v0 Revok [11:40 (UTC -03:00) 25-03-2014] 
# Unpacked or Unknown .exe Packer 
# Target: 2014-03-25aRagexe.exe 
# MD5: ?  CRC32: ? 
# MID Encryption keys are K: 1593005323 M: 341802953 A: 378471902
# PIN addfactor: 0x881234 and multfactor: 0x3498
# Storage Encryption keys are K: 050B6F79, 0202C179, 0E20120, 04FA43E3, 0179B6C8, 05973DF2, 07D8D6B, 08CB9ED9

# Packet ID | Packet Length | Packet Min Length | Repeat Factor | Packet Description
0369 7 7 0		send::actor_action
021C 10 10 0	receive::alchemist_point (PACKET_ZC_ALCHEMIST_POINT)
0224 10 10 0	receive::taekwon_rank (PACKET_ZC_TAEKWON_POINT)
0280 12 12 0	PACKET_ZC_GANGSI_POINT
0285 6 6 0		PACKET_ZC_DEATH_QUESTION
0286 4 4 0		PACKET_CZ_DEATH_QUESTION
021D 6 6 0		send::less_effect (PACKET_CZ_LESSEFFECT)
021E 6 6 0		PACKET_ZC_LESSEFFECT
021F 66 66 0	PACKET_ZC_NOTIFY_PKINFO
0222 6 6 0		PACKET_CZ_REQ_WEAPONREFINE
0221 -1 4 0		receive::upgrade_list (PACKET_ZC_NOTIFY_WEAPONITEMLIST)
0220 10 10 0	PACKET_ZC_NOTIFY_CRAZYKILLER
0223 8 8 0		receive::upgrade_message (PACKET_ZC_ACK_WEAPONREFINE)
0073 11 11 0	receive::map_loaded (PACKET_ZC_ACCEPT_ENTER)
0074 3 3 0		PACKET_ZC_REFUSE_ENTER
0075 -1 11 0	receive::changeToInGameState (PACKET_ZC_NOTIFY_INITCHAR)
0076 9 9 0		PACKET_ZC_NOTIFY_UPDATECHAR
0077 5 5 0		receive::changeToInGameState (PACKET_ZC_NOTIFY_UPDATEPLAYER)
0078 55 55 0	receive::actor_exists (PACKET_ZC_NOTIFY_STANDENTRY)
007A 58 58 0	receive::changeToInGameState (PACKET_ZC_NOTIFY_ACTENTRY)
007B 60 60 0	receive::actor_moved (PACKET_ZC_NOTIFY_MOVEENTRY)
007C 44 44 0	receive::actor_spawned (PACKET_ZC_NOTIFY_STANDENTRY_NPC)
007F 6 6 0		receive::received_sync (PACKET_ZC_NOTIFY_TIME)
0080 7 7 0		receive::actor_died_or_disappeared (PACKET_ZC_NOTIFY_VANISH)
0083 2 2 0		PACKET_ZC_ACCEPT_QUIT
0084 2 2 0		PACKET_ZC_REFUSE_QUIT
0086 16 16 0	receive::actor_display (PACKET_ZC_NOTIFY_MOVE)
0087 12 12 0	receive::character_moves (PACKET_ZC_NOTIFY_PLAYERMOVE)
0088 10 10 0	receive::actor_movement_interrupted (PACKET_ZC_STOPMOVE)
08CD 10 10 0
008A 29 29 0	receive::actor_action (PACKET_ZC_NOTIFY_ACT)
008B 23 23 0	PACKET_ZC_NOTIFY_ACT_POSITION
008D -1 8 0		receive::public_chat (PACKET_ZC_NOTIFY_CHAT)
008E -1 4 0		receive::self_chat (PACKET_ZC_NOTIFY_PLAYERCHAT)
0091 22 22 0	receive::map_change (PACKET_ZC_NPCACK_MAPMOVE)
0092 28 28 0	receive::map_changed (PACKET_ZC_NPCACK_SERVERMOVE)
0093 2 2 0		PACKET_ZC_NPCACK_ENABLE
0097 -1 32 0	receive::private_message (PACKET_ZC_WHISPER)
0098 3 3 0		receive::private_message_sent (PACKET_ZC_ACK_WHISPER)
009A -1 4 0		receive::system_chat (PACKET_ZC_BROADCAST)
009C 9 9 0		receive::actor_look_at (PACKET_ZC_CHANGE_DIRECTION)
009D 17 17 0	receive::item_exists (PACKET_ZC_ITEM_ENTRY)
009E 17 17 0	receive::item_appeared (PACKET_ZC_ITEM_FALL_ENTRY)
00A0 23 23 0	receive::inventory_item_added (PACKET_ZC_ITEM_PICKUP_ACK)
00A1 6 6 0		receive::item_disappeared (PACKET_ZC_ITEM_DISAPPEAR)
00A3 -1 4 0		receive::inventory_items_stackable (PACKET_ZC_NORMAL_ITEMLIST)
00A4 -1 4 0		receive::inventory_items_nonstackable (PACKET_ZC_EQUIPMENT_ITEMLIST)
00A5 -1 4 0		receive::storage_items_stackable (PACKET_ZC_STORE_NORMAL_ITEMLIST)
00A6 -1 4 0		receive::storage_items_nonstackable (PACKET_ZC_STORE_EQUIPMENT_ITEMLIST)
00A8 7 7 0		receive::use_item (PACKET_ZC_USE_ITEM_ACK)
00AA 9 9 0		receive::equip_item (PACKET_ZC_REQ_WEAR_EQUIP_ACK)
00AC 7 7 0		receive::unequip_item (PACKET_ZC_REQ_TAKEOFF_EQUIP_ACK)
00AE -1 4 0
00AF 6 6 0		receive::inventory_item_removed (PACKET_ZC_ITEM_THROW_ACK)
00B0 8 8 0		receive::stat_info (PACKET_ZC_PAR_CHANGE)
00B1 8 8 0		receive::stat_info (PACKET_ZC_LONGPAR_CHANGE)
00B3 3 3 0		receive::switch_character (PACKET_ZC_RESTART_ACK)
00B4 -1 8 0		receive::npc_talk (PACKET_ZC_SAY_DIALOG)
00B5 6 6 0		receive::npc_talk_continue (PACKET_ZC_WAIT_DIALOG)
00B6 6 6 0		receive::npc_talk_close (PACKET_ZC_CLOSE_DIALOG)
00B7 -1 8 0		receive::npc_talk_responses (PACKET_ZC_MENU_LIST)
00BC 6 6 0		receive::stats_added (PACKET_ZC_STATUS_CHANGE_ACK)
00BD 44 44 0	receive::stats_info (PACKET_ZC_STATUS)
00BE 5 5 0		receive::stat_info (PACKET_ZC_STATUS_CHANGE)
00C0 7 7 0		receive::emoticon (PACKET_ZC_EMOTION)
00C2 6 6 0		receive::users_online (PACKET_ZC_USER_COUNT)
00C3 8 8 0		receive::job_equipment_hair_change (PACKET_ZC_SPRITE_CHANGE)
00C4 6 6 0		receive::npc_store_begin (PACKET_ZC_SELECT_DEALTYPE)
00C6 -1 4 0		receive::npc_store_info (PACKET_ZC_PC_PURCHASE_ITEMLIST)
00C7 -1 4 0		receive::npc_sell_list (PACKET_ZC_PC_SELL_ITEMLIST)
00CA 3 3 0		receive::buy_result (PACKET_ZC_PC_PURCHASE_RESULT)
00CB 3 3 0		receive::sell_result (PACKET_ZC_PC_SELL_RESULT)
00CD 3 3 0		PACKET_ZC_ACK_DISCONNECT_CHARACTER
00D1 4 4 0		receive::ignore_player_result (PACKET_ZC_SETTING_WHISPER_PC)
00D2 4 4 0		receive::ignore_all_result (PACKET_ZC_SETTING_WHISPER_STATE)
00D4 -1 4 0		receive::whisper_list (PACKET_ZC_WHISPER_LIST)
00D6 3 3 0		receive::chat_created (PACKET_ZC_ACK_CREATE_CHATROOM)
00D7 -1 17 0	receive::chat_info (PACKET_ZC_ROOM_NEWENTRY)
00D8 6 6 0		receive::chat_removed (PACKET_ZC_DESTROY_ROOM)
00DA 3 3 0		receive::chat_join_result (PACKET_ZC_REFUSE_ENTER_ROOM)
00DB -1 8 0		receive::chat_users (PACKET_ZC_ENTER_ROOM)
00DC 28 28 0	receive::chat_user_join (PACKET_ZC_MEMBER_NEWENTRY)
00DD 29 29 0	receive::chat_user_leave (PACKET_ZC_MEMBER_EXIT)
00DF -1 17 0	receive::chat_modified (PACKET_ZC_CHANGE_CHATROOM)
00E1 30 30 0	receive::chat_newowner (PACKET_ZC_ROLE_CHANGE)
00E5 26 26 0	receive::deal_request (PACKET_ZC_REQ_EXCHANGE_ITEM)
00E7 3 3 0		receive::deal_begin (PACKET_ZC_ACK_EXCHANGE_ITEM)
00E9 19 19 0	receive::deal_add_other (PACKET_ZC_ADD_EXCHANGE_ITEM)
00EA 5 5 0		receive::deal_add_you (PACKET_ZC_ACK_ADD_EXCHANGE_ITEM)
00EC 3 3 0		receive::deal_finalize (PACKET_ZC_CONCLUDE_EXCHANGE_ITEM)
00EE 2 2 0		receive::deal_cancelled (PACKET_ZC_CANCEL_EXCHANGE_ITEM)
00F0 3 3 0		receive::deal_complete (PACKET_ZC_EXEC_EXCHANGE_ITEM)
00F1 2 2 0		PACKET_ZC_EXCHANGEITEM_UNDO
00F2 6 6 0		receive::storage_opened (PACKET_ZC_NOTIFY_STOREITEM_COUNTINFO)
00F4 21 21 0	receive::storage_item_added (PACKET_ZC_ADD_ITEM_TO_STORE)
00F6 8 8 0		receive::storage_item_removed (PACKET_ZC_DELETE_ITEM_FROM_STORE)
00F8 2 2 0		receive::storage_closed (PACKET_ZC_CLOSE_STORE)
00FA 3 3 0		receive::party_organize_result (PACKET_ZC_ACK_MAKE_GROUP)
00FB -1 28 0	receive::party_users_info (PACKET_ZC_GROUP_LIST)
00FD 27 27 0	receive::party_invite_result (PACKET_ZC_ACK_REQ_JOIN_GROUP)
00FE 30 30 0	receive::party_invite (PACKET_ZC_REQ_JOIN_GROUP)
0101 6 6 0		receive::party_exp (PACKET_ZC_GROUPINFO_CHANGE)
0104 79 79 0	receive::party_join (PACKET_ZC_ADD_MEMBER_TO_GROUP)
0105 31 31 0	receive::party_leave (PACKET_ZC_DELETE_MEMBER_FROM_GROUP)
0106 10 10 0	receive::party_hp_info (PACKET_ZC_NOTIFY_HP_TO_GROUPM)
0107 10 10 0	receive::party_location (PACKET_ZC_NOTIFY_POSITION_TO_GROUPM)
0109 -1 8 0		receive::party_chat (PACKET_ZC_NOTIFY_CHAT_PARTY)
010A 4 4 0		receive::mvp_item (PACKET_ZC_MVP_GETTING_ITEM)
010B 6 6 0		receive::mvp_you (PACKET_ZC_MVP_GETTING_SPECIAL_EXP)
010C 6 6 0		receive::mvp_other (PACKET_ZC_MVP)
010D 2 2 0		PACKET_ZC_THROW_MVPITEM
010E 11 11 0	receive::skill_update (PACKET_ZC_SKILLINFO_UPDATE)
010F -1 4 0		receive::skills_list (PACKET_ZC_SKILLINFO_LIST)
02B1 -1 8 0		receive::quest_all_list (PACKET_ZC_ALL_QUEST_LIST)
02B2 -1 8 0		receive::quest_all_mission (PACKET_ZC_ALL_QUEST_MISSION)
02B5 -1 6 0		receive::quest_update_mission_hunt (PACKET_ZC_UPDATE_MISSION_HUNT)
0110 10 10 0	receive::skill_use_failed (PACKET_ZC_ACK_TOUSESKILL)
0111 39 39 0	receive::skill_add (PACKET_ZC_ADD_SKILL)
0114 31 31 0	receive::skill_use (PACKET_ZC_NOTIFY_SKILL)
0115 35 35 0	PACKET_ZC_NOTIFY_SKILL_POSITION
0117 18 18 0	receive::skill_use_location (PACKET_ZC_NOTIFY_GROUNDSKILL)
0119 13 13 0	receive::character_status (PACKET_ZC_STATE_CHANGE)
0229 15 15 0	receive::character_status (PACKET_ZC_STATE_CHANGE3)
011A 15 15 0	receive::skill_used_no_damage (PACKET_ZC_USE_SKILL)
011C 68 68 0	receive::warp_portal_list (PACKET_ZC_WARPLIST)
011E 3 3 0		receive::memo_success (PACKET_ZC_ACK_REMEMBER_WARPPOINT)
011F 16 16 0	receive::area_spell (PACKET_ZC_SKILL_ENTRY)
0120 6 6 0		receive::area_spell_disappears (PACKET_ZC_SKILL_DISAPPEAR)
0121 14 14 0	receive::cart_info (PACKET_ZC_NOTIFY_CARTITEM_COUNTINFO)
0122 -1 4 0		receive::cart_items_nonstackable (PACKET_ZC_CART_EQUIPMENT_ITEMLIST)
0123 -1 4 0		receive::cart_items_stackable (PACKET_ZC_CART_NORMAL_ITEMLIST)
0124 21 21 0	receive::cart_item_added (PACKET_ZC_ADD_ITEM_TO_CART)
0125 8 8 0		receive::cart_item_removed (PACKET_ZC_DELETE_ITEM_FROM_CART)
012B 2 2 0		receive::cart_off (PACKET_ZC_CARTOFF)
012C 3 3 0		receive::cart_add_failed (PACKET_ZC_ACK_ADDITEM_TO_CART)
012D 4 4 0		receive::shop_skill (PACKET_ZC_OPENSTORE)
0131 86 86 0	receive::vender_found (PACKET_ZC_STORE_ENTRY)
0132 6 6 0		receive::vender_lost (PACKET_ZC_DISAPPEAR_ENTRY)
0133 -1 8 0		receive::vender_items_list (PACKET_ZC_PC_PURCHASE_ITEMLIST_FROMMC)
0135 7 7 0		receive::vender_buy_fail (PACKET_ZC_PC_PURCHASE_RESULT_FROMMC)
0136 -1 8 0		receive::vending_start (PACKET_ZC_PC_PURCHASE_MYITEMLIST)
0137 6 6 0		receive::shop_sold (PACKET_ZC_DELETEITEM_FROM_MCSTORE)
0139 16 16 0	receive::monster_ranged_attack (PACKET_ZC_ATTACK_FAILURE_FOR_DISTANCE)
013A 4 4 0		receive::attack_range (PACKET_ZC_ATTACK_RANGE)
013B 4 4 0		receive::arrow_none (PACKET_ZC_ACTION_FAILURE)
013C 4 4 0		receive::arrow_equipped (PACKET_ZC_EQUIP_ARROW)
013D 6 6 0		receive::hp_sp_changed (PACKET_ZC_RECOVERY)
013E 24 24 0	receive::skill_cast (PACKET_ZC_USESKILL_ACK)
0141 14 14 0	receive::stat_info2 (PACKET_ZC_COUPLESTATUS)
0142 6 6 0		receive::npc_talk_number (PACKET_ZC_OPEN_EDITDLG)
0144 23 23 0	receive::minimap_indicator (PACKET_ZC_COMPASS)
0145 19 19 0	PACKET_ZC_SHOW_IMAGE
0147 39 39 0	receive::item_skill (PACKET_ZC_AUTORUN_SKILL)
0148 8 8 0		receive::resurrection (PACKET_ZC_RESURRECTION)
0177 -1 4 0		receive::identify_list (PACKET_ZC_ITEMIDENTIFY_LIST)
0179 5 5 0		receive::identify (PACKET_ZC_ACK_ITEMIDENTIFY)
017B -1 4 0		receive::card_merge_list (PACKET_ZC_ITEMCOMPOSITION_LIST)
017D 7 7 0		receive::card_merge_status (PACKET_ZC_ACK_ITEMCOMPOSITION)
0188 8 8 0		receive::item_upgrade (PACKET_ZC_ACK_ITEMREFINING)
0189 4 4 0		receive::no_teleport (PACKET_ZC_NOTIFY_MAPINFO)
018B 4 4 0		receive::quit_response (PACKET_ZC_ACK_REQ_DISCONNECT)
018C 29 29 0	receive::sense_result (PACKET_ZC_MONSTER_INFO)
018D -1 4 0		receive::forge_list (PACKET_ZC_MAKABLEITEMLIST)
018F 6 6 0		receive::refine_result (PACKET_ZC_ACK_REQMAKINGITEM)
0191 86 86 0	receive::talkie_box (PACKET_ZC_TALKBOX_CHATCONTENTS)
0192 24 24 0	receive::map_change_cell (PACKET_ZC_UPDATE_MAPINFO)
0194 30 30 0	receive::character_name (PACKET_ZC_ACK_REQNAME_BYGID)
0196 9 9 0		receive::actor_status_active (PACKET_ZC_MSG_STATE_CHANGE)
028A 18 18 0	receive::character_status (PACKET_ZC_NPC_SHOWEFST_UPDATE)
0199 4 4 0		receive::map_property (PACKET_ZC_NOTIFY_MAPPROPERTY)
019A 14 14 0	receive::pvp_rank (PACKET_ZC_NOTIFY_RANKING)
019B 10 10 0	receive::unit_levelup (PACKET_ZC_NOTIFY_EFFECT)
01AB 12 12 0	receive::stat_info (PACKET_ZC_PAR_CHANGE_USER)
01AC 6 6 0		receive::actor_trapped (PACKET_ZC_SKILL_UPDATE)
01AD -1 4 0		receive::arrowcraft_list (PACKET_ZC_MAKINGARROW_LIST)
025A -1 4 0		receive::cooking_list (PACKET_ZC_MAKINGITEM_LIST)
01B3 67 67 0	receive::npc_image (PACKET_ZC_SHOW_IMAGE2)
01B4 12 12 0	receive::guild_emblem_update (PACKET_ZC_CHANGE_GUILD)
01B5 18 18 0	receive::account_payment_info (PACKET_SC_BILLING_INFO)
01B8 3 3 0		PACKET_ZC_GUILD_ZENY_ACK
01C3 -1 16 0	receive::local_broadcast (PACKET_ZC_BROADCAST2)
01C4 22 22 0	receive::storage_item_added (PACKET_ZC_ADD_ITEM_TO_STORE2)
01C5 22 22 0	receive::cart_item_added (PACKET_ZC_ADD_ITEM_TO_CART2)
01C8 13 13 0	receive::item_used (PACKET_ZC_USE_ITEM_ACK2)
01C9 97 97 0	receive::area_spell (PACKET_ZC_SKILL_ENTRY2)
01CC 9 9 0		PACKET_ZC_MONSTER_TALK
01D6 4 4 0		receive::map_property2 (PACKET_ZC_NOTIFY_MAPPROPERTY2)
01D7 11 11 0	receive::player_equipment (PACKET_ZC_SPRITE_CHANGE2)
01D8 54 54 0	receive::actor_exists (PACKET_ZC_NOTIFY_STANDENTRY2)
022A 58 58 0	receive::actor_exists (PACKET_ZC_NOTIFY_STANDENTRY3)
01D9 53 53 0	receive::actor_connected (PACKET_ZC_NOTIFY_NEWENTRY2)
022B 57 57 0	receive::actor_connected (PACKET_ZC_NOTIFY_NEWENTRY3)
01DA 60 60 0	receive::actor_moved (PACKET_ZC_NOTIFY_MOVEENTRY2)
022C 65 65 0	receive::actor_moved (PACKET_ZC_NOTIFY_MOVEENTRY3)
01DE 33 33 0	receive::skill_use (PACKET_ZC_NOTIFY_SKILL2)
01E0 30 30 0	receive::GM_req_acc_name (PACKET_ZC_ACK_ACCOUNTNAME)
01E2 34 34 0	PACKET_ZC_REQ_COUPLE
01E4 2 2 0		PACKET_ZC_START_COUPLE
01E6 26 26 0	receive::marriage_partner_name (PACKET_ZC_COUPLENAME)
01E9 81 81 0	receive::party_join (PACKET_ZC_ADD_MEMBER_TO_GROUP2)
01EA 6 6 0		receive::married (PACKET_ZC_CONGRATULATION)
01EB 10 10 0	receive::guild_location (PACKET_ZC_NOTIFY_POSITION_TO_GUILDM)
01EC 26 26 0	receive::guild_member_map_change (PACKET_ZC_GUILD_MEMBER_MAP_CHANGE)
01EE -1 4 0		receive::inventory_items_stackable (PACKET_ZC_NORMAL_ITEMLIST2)
01EF -1 4 0		receive::cart_items_stackable (PACKET_ZC_CART_NORMAL_ITEMLIST2)
01F0 -1 4 0		receive::storage_items_stackable (PACKET_ZC_STORE_NORMAL_ITEMLIST2)
01F4 32 32 0	receive::deal_request (PACKET_ZC_REQ_EXCHANGE_ITEM2)
01F5 9 9 0		receive::deal_begin (PACKET_ZC_ACK_EXCHANGE_ITEM2)
01F6 34 34 0	receive::adopt_request (PACKET_ZC_REQ_BABY)
0253 3 3 0		PACKET_ZC_STARPLACE
0254 3 3 0		PACKET_CZ_AGREE_STARPLACE
01F8 2 2 0		PACKET_ZC_START_BABY
01FC -1 4 0		receive::repair_list (PACKET_ZC_REPAIRITEMLIST)
01FE 5 5 0		receive::repair_result (PACKET_ZC_ACK_ITEMREPAIR)
0227 18 18 0	receive::gameguard_request (PACKET_ZC_GAME_GUARD)
0228 18 18 0	PACKET_CZ_ACK_GAME_GUARD
0232 9 9 0		send::actor_move (PACKET_CZ_REQUEST_MOVENPC)
0233 11 11 0	PACKET_CZ_REQUEST_ACTNPC
0234 6 6 0		PACKET_CZ_REQUEST_MOVETOOWNER
0230 12 12 0	receive::homunculus_info (PACKET_ZC_CHANGESTATE_MER)
022E 71 71 0	receive::homunculus_property (PACKET_ZC_PROPERTY_HOMUN)
027D 62 62 0	PACKET_ZC_PROPERTY_MERCE
0235 -1 4 0		receive::skills_list
0239 11 11 0	receive::skill_update
022F 5 5 0		receive::homunculus_food
0231 26 26 0	PACKET_CZ_RENAME_MER
0237 2 2 0		PACKET_CZ_KILLER_RANK
0238 282 282 0	receive::top10_pk_rank
0236 10 10 0
023A 4 4 0		receive::storage_password_request (PACKET_ZC_REQ_STORE_PASSWORD)
023C 6 6 0		receive::storage_password_result (PACKET_ZC_RESULT_STORE_PASSWORD)
023D 6 6 0		PACKET_AC_EVENT_RESULT
023E 8 8 0		receive::storage_password_request (PACKET_HC_REQUEST_CHARACTER_PASSWORD)
023F 2 2 0		PACKET_CZ_MAIL_GET_LIST
0240 -1 8 0		receive::mail_refreshinbox (PACKET_ZC_MAIL_REQ_GET_LIST)
0241 6 6 0		PACKET_CZ_MAIL_OPEN
0242 -1 99 0	receive::mail_read (PACKET_ZC_MAIL_REQ_OPEN)
0243 6 6 0		PACKET_CZ_MAIL_DELETE
0257 8 8 0		receive::mail_delete (PACKET_ZC_ACK_MAIL_DELETE)
0244 6 6 0		PACKET_CZ_MAIL_GET_ITEM
0245 3 3 0		receive::mail_getattachment (PACKET_ZC_MAIL_REQ_GET_ITEM)
0246 4 4 0		PACKET_CZ_MAIL_RESET_ITEM
0247 8 8 0		PACKET_CZ_MAIL_ADD_ITEM
0248 -1 68 0	PACKET_CZ_MAIL_SEND
0249 3 3 0		receive::mail_send (PACKET_ZC_MAIL_REQ_SEND)
024A 70 70 0	receive::mail_new (PACKET_ZC_MAIL_RECEIVE)
024B 4 4 0		PACKET_CZ_AUCTION_CREATE
024C 8 8 0		PACKET_CZ_AUCTION_ADD_ITEM
024D 12 12 0	PACKET_CZ_AUCTION_ADD
024E 6 6 0		PACKET_CZ_AUCTION_ADD_CANCEL
024F 10 10 0	PACKET_CZ_AUCTION_BUY
0250 3 3 0		receive::auction_result (PACKET_ZC_AUCTION_RESULT)
0251 34 34 0	PACKET_CZ_AUCTION_ITEM_SEARCH
0252 -1 12 0	receive::auction_item_request_search (PACKET_ZC_AUCTION_ITEM_REQ_SEARCH)
0255 5 5 0		receive::mail_setattachment (PACKET_ZC_ACK_MAIL_ADD_ITEM)
0256 5 5 0		receive::auction_add_item (PACKET_ZC_ACK_AUCTION_ADD_ITEM)
0258 2 2 0		PACKET_CA_REQ_GAME_GUARD_CHECK
0259 3 3 0		receive::gameguard_grant (PACKET_AC_ACK_GAME_GUARD)
025C 4 4 0		PACKET_CZ_AUCTION_REQ_MY_INFO
025D 6 6 0		receive::auction_my_sell_stop (PACKET_CZ_AUCTION_REQ_MY_SELL_STOP)
025E 4 4 0		PACKET_ZC_AUCTION_ACK_MY_SELL_STOP
025F 6 6 0		receive::auction_windows (PACKET_ZC_AUCTION_WINDOWS)
0260 6 6 0		receive::mail_window (PACKET_ZC_MAIL_WINDOWS)
0261 11 11 0	PACKET_AC_REQ_LOGIN_OLDEKEY
0262 11 11 0	PACKET_AC_REQ_LOGIN_NEWEKEY
0263 11 11 0	PACKET_AC_REQ_LOGIN_CARDPASS
0264 20 20 0	PACKET_CA_ACK_LOGIN_OLDEKEY
0265 20 20 0	PACKET_CA_ACK_LOGIN_NEWEKEY
0266 30 30 0	PACKET_CA_ACK_LOGIN_CARDPASS
0267 4 4 0		PACKET_AC_ACK_EKEY_FAIL_NOTEXIST
0268 4 4 0		PACKET_AC_ACK_EKEY_FAIL_NOTUSESEKEY
0269 4 4 0		PACKET_AC_ACK_EKEY_FAIL_NOTUSEDEKEY
026A 4 4 0		PACKET_AC_ACK_EKEY_FAIL_AUTHREFUSE
026B 4 4 0		PACKET_AC_ACK_EKEY_FAIL_INPUTEKEY
026C 4 4 0		PACKET_AC_ACK_EKEY_FAIL_NOTICE
026D 4 4 0		PACKET_AC_ACK_EKEY_FAIL_NEEDCARDPASS
026F 2 2 0		PACKET_AC_ACK_FIRST_LOGIN
0270 2 2 0		PACKET_AC_REQ_LOGIN_ACCOUNT_INFO
0271 40 40 0	PACKET_CA_ACK_LOGIN_ACCOUNT_INFO
0272 44 44 0	PACKET_AC_ACK_PT_ID_INFO
0273 30 30 0	PACKET_CZ_REQ_MAIL_RETURN
0274 8 8 0		receive::mail_return (PACKET_ZC_ACK_MAIL_RETURN)
0275 37 37 0	send::game_login (PACKET_CH_ENTER2)
0276 -1 51 0	PACKET_AC_ACCEPT_LOGIN2
0277 84 84 0	PACKET_CA_LOGIN_PCBANG
0278 2 2 0		PACKET_ZC_NOTIFY_PCBANG
0279 2 2 0		PACKET_CZ_HUNTINGLIST
027A -1 4 0		PACKET_ZC_HUNTINGLIST
027B 14 14 0	receive::premium_rates_info (PACKET_ZC_PCBANG_EFFECT)
027C 60 60 0	PACKET_CA_LOGIN4
027E -1 6 0		PACKET_ZC_SHANDA_PROTECT
027F 8 8 0		PACKET_CA_CLIENT_TYPE
0283 6 6 0		receive::account_id (PACKET_ZC_AID)
0287 -1 8 0		receive::cash_dealer (PACKET_ZC_PC_CASH_POINT_ITEMLIST)
0288 6 6 0		PACKET_CZ_PC_BUY_CASH_POINT_ITEM
0289 8 8 0		receive::cash_buy_fail (PACKET_ZC_PC_CASH_POINT_UPDATE)
0444 -1 8 0		receive::cash_item_list (PACKET_ZC_SIMPLE_CASH_POINT_ITEMLIST)
0445 6 6 0		PACKET_CZ_SIMPLE_BUY_CASH_POINT_ITEM
028B -1 4 0
028C 46 46 0	PACKET_CH_SELECT_CHAR_GOINGTOBEUSED
028D 34 34 0	PACKET_CH_REQ_IS_VALID_CHARNAME
028E 4 4 0		PACKET_HC_ACK_IS_VALID_CHARNAME
028F 6 6 0		PACKET_CH_REQ_CHANGE_CHARNAME
0290 4 4 0		PACKET_HC_ACK_CHANGE_CHARNAME
0291 4 4 0		receive::message_string (PACKET_ZC_MSG)
0292 2 2 0		PACKET_CZ_STANDING_RESURRECTION
0293 70 70 0	receive::boss_map_info (PACKET_ZC_BOSS_INFO)
0294 10 10 0	receive::book_read (PACKET_ZC_READ_BOOK)
0295 -1 4 0		receive::inventory_items_nonstackable (PACKET_ZC_EQUIPMENT_ITEMLIST2)
0296 -1 4 0		receive::storage_items_nonstackable (PACKET_ZC_STORE_EQUIPMENT_ITEMLIST2)
0297 -1 4 0		receive::cart_items_nonstackable (PACKET_ZC_CART_EQUIPMENT_ITEMLIST2)
0298 8 8 0		receive::rental_time (PACKET_ZC_CASH_TIME_COUNTER)
0299 6 6 0		receive::rental_expired (PACKET_ZC_CASH_ITEM_DELETE)
029A 27 27 0	receive::inventory_item_added (PACKET_ZC_ITEM_PICKUP_ACK2)
029B 80 80 0	receive::mercenary_init (PACKET_ZC_MER_INIT)
029C 66 66 0	PACKET_ZC_MER_PROPERTY
029D -1 4 0		receive::skills_list (PACKET_ZC_MER_SKILLINFO_LIST)
029E 11 11 0	PACKET_ZC_MER_SKILLINFO_UPDATE
029F 3 3 0		PACKET_CZ_MER_COMMAND
02A2 8 8 0		receive::stat_info (PACKET_ZC_MER_PAR_CHANGE)
02A5 8 8 0		PACKET_CZ_KSY_EVENT
02A6 -1 10 0	receive::gameguard_request
02A7 -1 10 0
02AA 4 4 0		receive::cash_password_request (PACKET_ZC_REQ_CASH_PASSWORD)
02AB 36 36 0	PACKET_CZ_ACK_CASH_PASSWORD
02AC 6 6 0		receive::cash_password_result (PACKET_ZC_RESULT_CASH_PASSWORD)
02AD 8 8 0		receive::login_pin_code_request (PACKET_AC_REQUEST_SECOND_PASSWORD)
02B0 85 85 0	send::master_login (PACKET_CA_LOGIN_HAN)
02B8 22 22 0	receive::party_show_picker (PACKET_ZC_ITEM_PICKUP_PARTY)
02BB 8 8 0		PACKET_ZC_EQUIPITEM_DAMAGED
02B9 191 191 0	receive::hotkeys (PACKET_ZC_SHORTCUT_KEY_LIST)
02BA 11 11 0	PACKET_CZ_SHORTCUT_KEY_CHANGE
02BC 6 6 0		PACKET_ZC_NOTIFY_PCBANG_PLAYING_TIME
02B3 107 107 0	receive::quest_add (PACKET_ZC_ADD_QUEST)
02B4 6 6 0		receive::quest_delete (PACKET_ZC_DEL_QUEST)
02B6 7 7 0		PACKET_CZ_ACTIVE_QUEST
02B7 7 7 0		receive::quest_active (PACKET_ZC_ACTIVE_QUEST)
02C1 -1 12 0	PACKET_ZC_NPC_CHAT
02C2 -1 6 0		PACKET_ZC_FORMATSTRING_MSG
02C5 30 30 0	receive::party_invite_result (PACKET_ZC_PARTY_JOIN_REQ_ACK)
02C8 3 3 0		PACKET_CZ_PARTY_CONFIG
02C9 3 3 0		receive::party_allow_invite (PACKET_ZC_PARTY_CONFIG)
02C6 30 30 0	receive::party_invite (PACKET_ZC_PARTY_JOIN_REQ)
02C7 7 7 0		PACKET_CZ_PARTY_JOIN_REQ_ACK
02CB 65 65 0	receive::instance_window_start (PACKET_ZC_MEMORIALDUNGEON_SUBSCRIPTION_INFO)
02CC 4 4 0		receive::instance_window_queue (PACKET_ZC_MEMORIALDUNGEON_SUBSCRIPTION_NOTIFY)
02CD 71 71 0	receive::instance_window_join (PACKET_ZC_MEMORIALDUNGEON_INFO)
