EFST_PROVOKE 挑衅状态
MAPPROPERTY_NO_CHATTING 地图为无法对话
MAPPROPERTY_COUNT_PK COUNT PK
MAPPROPERTY_HIDING_DAMAGE
MAPPROPERTY_DISABLE_KNOCKBACK
MAPPROPERTY_LONG_INSUPERABLE_TIME


MAPTYPE_ARENA 地图为亚雷那模式
MAPTYPE_PORINGBATTLE 地图为波利战场模式
MAPTYPE_BATTLEFIELD 地图为战场模式
MAPTYPE_ARENA 地图为任务模式
MAPTYPE_VILLAGE 地图为城镇模式
MAPTYPE_VILLAGE_IN 地图为城镇内区模式
MAPTYPE_DUNGEON 地图为地下城模式
MAPTYPE_DUNGEON3 地图为地下城模式三
MAPTYPE_FIELD 地图为野外模式
MAPTYPE_DENYSKILL 地图为禁止使用技能模式
MAPTYPE_NOPENALTY_FREEPKZONE 地图为无规则自由PK模式
MAPTYPE_AGIT
MAPTYPE_AGIT_SIEGEV15 AGIT SIEGEV15


BODYSTATE_STONECURSE_ING 石化中状态
BODYSTATE_STONECURSE 石化状态
BODYSTATE_FREEZING 冰冻状态
BODYSTATE_SLEEP 沉睡状态
BODYSTATE_STUN 晕眩状态
HEALTHSTATE_BLIND 黑暗状态
HEALTHSTATE_CURSE 诅咒状态
HEALTHSTATE_SILENCE 沉默状态
HEALTHSTATE_POISON 中毒状态
HEALTHSTATE_BLOODING 出血状态
HEALTHSTATE_HEAVYPOISON 猛毒状态
HEALTHSTATE_ANGELUS 天使之障壁状态
HEALTHSTATE_CONFUSION
BODYSTATE_BURNNING 燃烧状态
BODYSTATE_UNDEAD Undead

EFFECTSTATE_SIGHT 火狩
EFFECTSTATE_RUWACH 光猎
EFFECTSTATE_BURROW 隐藏
EFFECTSTATE_HIDING 伪装
EFFECTSTATE_FOOTPRINT 暗影追踪
EFFECTSTATE_BIRD 装备猎鹰状态
EFFECTSTATE_CHICKEN 骑乘大嘴鸟
EFFECTSTATE_ORCFACE 兽人脸
EFFECTSTATE_SANTA 圣诞装
EFFECTSTATE_SUMMER 夏日装
EFFECTSTATE_MARRIED 结婚礼服
EFFECTSTATE_PUSHCART 手推车
EFFECTSTATE_PUSHCART1 手推车模式一
EFFECTSTATE_PUSHCART2 手推车模式二
EFFECTSTATE_PUSHCART3 手推车模式三
EFFECTSTATE_PUSHCART4 手推车模式四
EFFECTSTATE_PUSHCART5 手推车模式五
EFFECTSTATE_WUGRIDER 狼骑乘
EFFECTSTATE_DRAGON 龙骑乘
EFFECTSTATE_DRAGON2 龙骑乘(黑)
EFFECTSTATE_DRAGON3 龙骑乘(白)
EFFECTSTATE_DRAGON4 龙骑乘(蓝)
EFFECTSTATE_DRAGON5 龙骑乘(红)
EFFECTSTATE_WUG 哮狼
EFFECTSTATE_STAR2 Flying
EFFECTSTATE_MADOGEAR 魔导机甲搭乘中
EFFECTSTATE_SPECIALHIDING GM Perfect Hide
EFFECTSTATE_TRANSFORM Transform


UNKNOWN_MAPPROPERTY_TYPE_10 未知地图类型
UNKNOWN_MAPPROPERTY_TYPE_13 未知地图类型
UNKNOWN_MAPPROPERTY_TYPE_18 未知地图类型
UNKNOWN_MAPPROPERTY_TYPE_24 未知地图类型
UNKNOWN_MAPPROPERTY_TYPE_26 未知地图类型
UNKNOWN_MAPPROPERTY_TYPE_8 未知地图类型
UNKNOWN_MAPTYPE_24 未知地图类型
UNKNOWN_MAPTYPE_26 未知地图类型

EFST_DELAY 技能延迟
EFST_HANDICAPSTATE_NORECOVER HPSP不可恢复状态
EFST_SET_NUM_DEF DEF固定成特定的数值
EFST_SET_NUM_MDEF MDEF固定成特定的数值
EFST_SET_PER_DEF DEF固定成特定百分比
EFST_SET_PER_MDEF MDEF固定成特定百分比
EFST_ATTHASTE_CASH ASPD强化药水
EFST_ALL_RIDING 坐骑搭乘中
EFST_2011RWC 加油鞭炮状态
EFST_PHI_DEMON 古代神灵平安符状态
EFST_GM_BATTLE 战斗灵药状态
EFST_GM_BATTLE2 高级战斗灵药状态
EFST_MEIKYOUSISUI 明镜止水状态
EFST_IZAYOI 第十六个夜晚状态
EFST_KG_KAGEHUMI踏影状态
EFST_KYOMU 虚无飘妙之影状态
EFST_KAGEMUSYA 影子武士状态
EFST_ZANGETSU 变形的上弦月状态
EFST_GENSOU 阴月的幻影状态
EFST_AKAITSUKI 不祥的红月状态
EFST_2011RWC_SCROLL 红色助推器状态
EFST_MYSTICPOWDER 神奇粉末状态
EFST_ON_PUSH_CART 持有手推车状态
EFST_FLOWER_LEAF 茂盛的花瓣状态
EFST_M_LIFEPOTION 神奇生命水状态
